Date,Market,OpenInterest,ProdLong,ProdShort,SwapLong,SwapShort,MMLong,MMShort,OtherLong,OtherShort,ChangeOI,ChangeMMLong,ChangeMMShort,MMNet,SwapNet,ProducerNet,OtherNet,SpecPressure,DealerPressure,ProdPressure,PsychophysicalPositioning,PP_signed,PositionShock,MMNet_EWM,PosMomentum,CrowdingIndex,DivergenceIndex
2021-12-21,,651027,40030,102229,72680,257612,137823,53232,172217,40306,-2688.0,3215.0,-5886.0,84591,-184932,-62199,131911,0.129934703168993,-0.28406195134763995,-0.09553981632098207,-0.07756592309924759,-0.07756592309924759,0.44639614988769505,95216.28362893025,-10625.28362893025,0.3495378519325075,0.4139966545166329
2021-12-28,,650426,40254,106208,71861,266429,146045,47210,174261,45189,-601.0,8221.0,-6022.0,98835,-194568,-65954,129072,0.1519542576711263,-0.29913933329848436,-0.10140123549796595,0.08608973103966423,0.08608973103966423,0.6949256172684503,95484.33669345394,3350.663306546063,0.4661514404774575,0.45109359096961066
2022-01-04,,650245,41735,103790,72281,263689,140082,45140,172896,40638,-182.0,-5963.0,-2070.0,94942,-191408,-62055,132258,0.14600958100408307,-0.29436289398611293,-0.09543325977131696,0.05810576109074908,0.05810576109074908,-0.19106028872418737,95444.16360504994,-502.16360504993645,0.4342800068769597,0.440372474990196
2022-01-11,,699412,46111,105788,79432,260968,134492,46633,170920,43209,49167.0,-5590.0,1493.0,87859,-181536,-59677,127711,0.12561837657918365,-0.25955516919927024,-0.08532452974784534,-0.01568252256619275,-0.01568252256619275,-0.3661454267917323,94882.2996343055,-7023.299634305498,0.37629250002046716,0.38517354577845386
2022-01-18,,696202,49578,109525,84605,262763,134572,50033,170848,44447,-3210.0,80.0,3400.0,84539,-178158,-59947,126401,0.12142883818202188,-0.2558998681417175,-0.08610575666257782,-0.04978506982652273,-0.04978506982652273,-0.17158335709404152,94116.12929102361,-9577.129291023608,0.3491121353778644,0.3773287063237394
2022-01-25,,723419,31580,108863,81157,279205,158663,40955,174820,46746,27217.0,24091.0,-9078.0,117708,-198048,-77283,128074,0.1627106835734201,-0.2737666552855261,-0.10683020490200008,0.2807779088402955,0.2807779088402955,1.6713130504246834,95863.6752694663,21844.3247305337,0.6206619892424702,0.4364773388589462
2022-02-01,,637298,28158,88553,92093,250856,122443,59895,169540,42327,-86121.0,-36220.0,18940.0,62548,-158763,-60395,127213,0.0981456084908473,-0.2491189365100785,-0.09476728312343675,-0.34208479349384324,-0.34208479349384324,-2.5976461865166742,93395.84747172806,-30847.847471728062,0.1690749670479013,0.3472645450009258
2022-02-08,,647101,27645,92201,91878,262884,135187,50298,166066,40080,9803.0,12744.0,-9596.0,84889,-171006,-64556,125986,0.1311835401274299,-0.26426477474150095,-0.09976186097687996,-0.032086292380281795,-0.032086292380281795,1.0402575010349173,92765.71062197043,-7876.710621970429,0.35197753526488573,0.39544831486893084
2022-02-15,,717041,30456,106907,90334,281563,169548,43902,165924,48808,69940.0,34361.0,-6397.0,125646,-191229,-76451,117116,0.17522847368560515,-0.26669186280840285,-0.10662012353547426,0.3508514358983888,0.3508514358983888,1.8533924332045555,95201.28761293559,30444.712387064414,0.685649258680115,0.44192033649400797
2022-02-22,,808830,34107,119337,88435,310446,203121,42139,173314,52723,91790.0,33572.0,-1762.0,160982,-222011,-85230,120591,0.1990306986635016,-0.2744841313996761,-0.10537442973183488,0.5819503040763127,0.5819503040763127,1.570161528217474,100073.93297494036,60908.067025059645,0.974940031273793,0.4735148300631777
2022-03-01,,815986,39224,121528,86923,322539,207420,39317,172395,49793,7156.0,4300.0,-2823.0,168103,-235616,-82304,122602,0.2060121129529183,-0.28875005208422694,-0.10086447561600322,0.6019400074290105,0.6019400074290105,0.320924315431946,105113.12312494477,62989.876875055226,1.0,0.4947621650371452
2022-03-08,,921117,50607,138094,86307,351602,213714,38020,189799,44270,105131.0,6294.0,-1297.0,175694,-265295,-87487,145529,0.1907401557022615,-0.2880144433334745,-0.0949792480216954,0.6185461835996906,0.6185461835996906,0.3442210057142037,110341.33622680072,65352.66377319928,1.0,0.478754599035736
2022-03-15,,849700,47046,122366,84390,341515,186305,38804,186934,37763,-71417.0,-27409.0,784.0,147501,-257125,-75320,149171,0.17359185594915852,-0.30260680240084736,-0.08864305048840768,0.4249661479900395,0.4249661479900395,-1.2580932556314577,113093.90391370437,34407.09608629563,0.788928734530699,0.47619865835000585
2022-03-22,,823034,49020,119865,90412,334258,171321,37329,179233,32023,-26666.0,-14984.0,-1475.0,133992,-243846,-70845,147210,0.162802508766345,-0.29627694603139115,-0.08607785340581313,0.3134800306287656,0.3134800306287656,-0.6001479766132809,114641.91103120775,19350.088968792246,0.6877915116305185,0.45907945479773615
2022-03-29,,762707,37314,92833,84554,335029,168816,38690,180107,32278,-60327.0,-2504.0,1361.0,130126,-250475,-55519,147829,0.17061073256178322,-0.3284026500346791,-0.07279204202924583,0.2686813410717604,0.2686813410717604,-0.17181966166839097,115788.88058445162,14337.119415548383,0.6588481032559462,0.49901338259646233
2022-04-05,,745645,38564,95566,83413,325029,170238,47567,175766,32705,-17062.0,1422.0,8876.0,122671,-241616,-57002,143061,0.16451662654480348,-0.3240362370833305,-0.07644656639553675,0.20097068805343424,0.20097068805343424,-0.3351648936422136,116298.66720782557,6372.332792174435,0.6030350899521603,0.488552863628134
2022-04-12,,795447,42434,102311,81942,338719,193192,48528,174518,34837,49802.0,22954.0,961.0,144664,-256777,-59877,139681,0.18186503940551665,-0.3228084334971406,-0.07527465689103108,0.3506812094724498,0.3506812094724498,0.9840900988353206,118399.80297020885,26264.197029791147,0.7676890941896071,0.5046734729026573
2022-04-19,,776562,44231,102165,83613,327850,180607,55640,175968,34387,-18885.0,-12585.0,7111.0,124967,-244237,-57934,141581,0.16092340341144687,-0.31451062503702215,-0.07460318686724306,0.19386361735167232,0.19386361735167232,-0.8739981074825721,118886.26200945264,6080.7379905473645,0.6202244499180212,0.47543402844846905
2022-04-26,,728774,41997,91576,87012,305258,156528,57085,172449,35579,-47788.0,-24080.0,1445.0,99443,-218246,-49579,136870,0.13645245302384554,-0.299470068910252,-0.06803069264271228,-0.04135766628274539,-0.04135766628274539,-1.1186493625470229,117446.02037912281,-18003.020379122812,0.42913506674352964,0.43592252193409753
2022-05-03,,731812,41888,86848,91543,290986,144193,61257,162912,34572,3038.0,-12335.0,4173.0,82936,-199443,-44960,128340,0.11332965297098162,-0.2725331095964537,-0.06143654381179866,-0.2259860028842856,-0.2259860028842856,-0.7196263569743212,114889.72257326187,-31953.722573261868,0.3055528520412365,0.38586276256743535
2022-05-10,,741917,39730,86870,91841,278347,135560,61669,160471,35947,10104.0,-8633.0,411.0,73891,-186506,-47140,124524,0.09959469859836073,-0.251383914912315,-0.06353810466669452,-0.33744331038167213,-0.33744331038167213,-0.40024859314902467,111852.78016042766,-37961.78016042766,0.23783605722799112,0.3509786135106757
2022-05-17,,727353,40239,82933,91866,259998,125823,71254,161130,37334,-14563.0,-9737.0,9585.0,54569,-168132,-42694,123796,0.07502409421560095,-0.23115598615802782,-0.058697771233500104,-0.6308027639903964,-0.6308027639903964,-0.8517210303090342,107609.53718558117,-53040.53718558117,0.09317890859542864,0.30618008037362876
2022-05-24,,717726,38436,87282,86976,262966,136718,59225,156729,38300,-9628.0,10895.0,-12028.0,77493,-175990,-48846,118429,0.10797017246135712,-0.24520499466370174,-0.06805661213332108,-0.2707715033473886,-0.2707715033473886,1.0079874308356012,105378.68257924182,-27885.682579241824,0.2648029886726909,0.35317516712505886
2022-05-31,,641087,27228,76461,87346,247515,125749,63081,155917,37403,-76638.0,-10969.0,3856.0,62668,-160169,-49233,118514,0.09775272310934398,-0.24983972534149032,-0.07679612907452499,-0.47031014284618616,-0.47031014284618616,-0.6497614716314646,102214.9283141128,-39546.928314112796,0.15381332774329756,0.3475924484508343
2022-06-07,,622353,23852,71880,83939,245231,128491,58723,154363,40171,-18734.0,2742.0,-4358.0,69768,-161292,-48028,114192,0.11210358108661804,-0.2591648148237415,-0.07717163731837076,-0.351939299068259,-0.351939299068259,0.31079627219428313,99811.45214269703,-30043.45214269703,0.20696857850880804,0.37126839591035954
2022-06-14,,643209,22240,67835,90464,233968,121509,71948,155824,41764,20856.0,-6982.0,13225.0,49561,-143504,-45595,114060,0.0770527153693434,-0.22310633091265825,-0.07088675687062837,-0.6812509469436071,-0.6812509469436071,-0.8807235507370452,96089.19642842318,-46528.19642842318,0.05568574016815027,0.30015904628200163
2022-06-21,,639784,19906,67029,89680,241751,125213,63397,155206,42397,-3425.0,3705.0,-8551.0,61816,-152071,-47123,112809,0.09662010928688432,-0.23769115826591475,-0.07365454590924438,-0.4574721877862071,-0.4574721877862071,0.5469016121947706,93550.44113742888,-31734.441137428876,0.14743469765143632,0.33431126755279905
